employee_id,hiring_source,referred_by
1,Recruitment Agency,
2,Recruitment Agency,
3,Career Fair,
4,Referral,Nicole Hill
5,Recruitment Agency,
6,Job Board,
7,Job Board,
8,Recruitment Agency,
9,Career Fair,
10,Career Fair,
11,Internal Transfer,
12,Recruitment Agency,
13,Referral,Connie Brown
14,Recruitment Agency,
15,Referral,John Thomas
16,Referral,Charles Clark
17,Referral,Rebecca Carney
18,Recruitment Agency,
19,Internal Transfer,
20,Recruitment Agency,
21,Recruitment Agency,
22,Internal Transfer,
23,Recruitment Agency,
24,Internal Transfer,
25,Job Board,
26,Internal Transfer,
27,Job Board,
28,Career Fair,
29,Internal Transfer,
30,Social Media,
31,Recruitment Agency,
32,Job Board,
33,Job Board,
34,Career Fair,
35,Career Fair,
36,Job Board,
37,Recruitment Agency,
38,Internal Transfer,
39,Job Board,
40,Internal Transfer,
41,Career Fair,
42,Referral,Margaret Phillips
43,Career Fair,
44,Recruitment Agency,
45,Job Board,
46,Social Media,
47,Internal Transfer,
48,Job Board,
49,Recruitment Agency,
50,Internal Transfer,
51,Career Fair,
52,Recruitment Agency,
53,Recruitment Agency,
54,Social Media,
55,Career Fair,
56,Referral,William Smith
57,Recruitment Agency,
58,Social Media,
59,Job Board,
60,Job Board,
61,Social Media,
62,Job Board,
63,Recruitment Agency,
64,Social Media,
65,Referral,Katherine Crawford
66,Referral,Diane Foley
67,Referral,Lauren Hawkins
68,Recruitment Agency,
69,Internal Transfer,
70,Recruitment Agency,
71,Recruitment Agency,
72,Recruitment Agency,
73,Social Media,
74,Referral,Mark Meyers
75,Career Fair,
76,Job Board,
77,Career Fair,
78,Social Media,
79,Career Fair,
80,Referral,Sonya Nicholson
81,Job Board,
82,Career Fair,
83,Internal Transfer,
84,Social Media,
85,Referral,Nathan Gonzalez
86,Recruitment Agency,
87,Social Media,
88,Social Media,
89,Social Media,
90,Social Media,
91,Career Fair,
92,Career Fair,
93,Internal Transfer,
94,Social Media,
95,Internal Transfer,
96,Social Media,
97,Social Media,
98,Referral,Marcus Smith
99,Social Media,
100,Social Media,
101,Recruitment Agency,
102,Referral,Jose Villegas
103,Internal Transfer,
104,Career Fair,
105,Recruitment Agency,
106,Career Fair,
107,Internal Transfer,
108,Recruitment Agency,
109,Recruitment Agency,
110,Referral,Angela Bradshaw
111,Internal Transfer,
112,Social Media,
113,Career Fair,
114,Recruitment Agency,
115,Recruitment Agency,
116,Career Fair,
117,Recruitment Agency,
118,Referral,Luke Fisher
119,Job Board,
120,Recruitment Agency,
121,Job Board,
122,Social Media,
123,Job Board,
124,Career Fair,
125,Job Board,
126,Internal Transfer,
127,Recruitment Agency,
128,Recruitment Agency,
129,Job Board,
130,Job Board,
131,Recruitment Agency,
132,Referral,Laura Thompson
133,Internal Transfer,
134,Social Media,
135,Job Board,
136,Referral,Jessica Williams
137,Recruitment Agency,
138,Job Board,
139,Recruitment Agency,
140,Recruitment Agency,
141,Social Media,
142,Career Fair,
143,Recruitment Agency,
144,Recruitment Agency,
