employee_id,promotion_date,new_job_role_id
7,2022-06-07,37
19,2023-02-21,33
34,2021-11-24,37
37,2024-07-31,35
57,2021-08-21,26
60,2022-08-15,22
77,2025-06-24,49
79,2022-12-25,39
91,2023-06-17,13
101,2022-07-22,39
102,2024-10-02,40
103,2023-06-21,2
104,2019-02-21,29
105,2021-10-28,21
115,2021-01-01,15
124,2024-06-11,36
127,2017-03-10,46
138,2023-07-29,4
141,2024-07-30,24
149,2022-09-02,40
157,2020-07-17,32
175,2024-09-11,32
180,2023-03-14,20
182,2019-12-05,14
188,2021-01-02,49
199,2023-07-28,5
203,2022-04-16,42
220,2023-03-31,49
238,2018-03-20,20
244,2017-10-10,45
247,2025-02-13,34
271,2019-04-09,42
275,2023-06-23,1
277,2017-08-14,49
280,2023-12-09,29
289,2020-07-09,44
292,2024-03-23,44
294,2021-03-29,48
296,2024-01-29,14
298,2025-08-03,2
340,2018-05-27,24
344,2020-02-26,9
374,2020-03-09,35
393,2019-06-14,3
399,2021-08-25,29
404,2023-05-13,36
422,2024-09-06,9
432,2020-12-19,21
456,2021-09-13,28
458,2025-05-11,38
495,2018-12-24,34
501,2018-04-08,41
503,2024-12-19,15
505,2025-04-15,51
507,2021-12-20,6
508,2023-03-19,20
514,2019-09-20,14
528,2024-09-26,36
529,2023-07-16,35
532,2022-10-01,42
544,2019-08-23,28
558,2021-12-09,20
564,2024-05-28,23
601,2019-11-26,5
604,2020-08-12,23
626,2021-05-03,42
634,2019-09-26,7
665,2025-02-04,34
672,2017-04-29,4
684,2021-06-07,34
686,2021-02-05,38
689,2023-08-08,49
705,2019-09-11,19
706,2022-05-20,9
709,2024-01-17,35
727,2019-10-12,32
740,2024-06-15,10
747,2022-03-03,38
755,2022-04-08,32
761,2025-03-29,30
765,2022-11-11,37
780,2020-05-15,19
813,2023-07-20,26
817,2017-06-18,42
819,2019-02-14,33
822,2019-04-01,30
826,2022-02-18,31
835,2019-07-30,12
843,2020-03-02,12
847,2022-05-12,27
857,2021-04-24,35
865,2023-06-12,46
883,2022-03-22,20
885,2020-04-01,9
897,2021-05-09,27
901,2020-01-28,2
908,2019-04-25,1
917,2022-06-16,20
925,2021-01-27,17
928,2020-05-26,7
935,2024-07-19,25
942,2020-12-13,42
956,2017-08-26,20
970,2024-11-29,9
973,2023-08-30,20
981,2022-08-28,46
986,2024-11-19,7
1061,2021-05-03,30
1069,2023-05-27,41
1072,2019-03-18,25
1078,2020-02-15,32
1097,2020-11-26,15
1106,2021-08-02,40
1112,2023-04-03,24
1122,2018-03-20,42
1135,2019-12-02,27
1141,2020-03-02,45
1146,2022-07-25,26
1151,2018-07-20,5
1152,2024-12-19,39
1153,2022-09-09,44
1155,2019-02-15,11
1177,2019-07-10,38
1190,2020-06-22,38
1197,2021-09-27,34
1199,2023-08-12,51
1207,2023-12-15,15
1212,2020-07-02,37
1216,2024-06-15,10
1220,2018-09-14,10
1231,2020-12-28,32
1233,2024-06-04,43
1235,2025-07-06,21
1241,2023-01-13,49
1243,2024-09-04,45
1245,2021-08-12,32
1246,2022-02-13,32
1253,2025-02-15,41
1266,2017-07-10,29
1278,2020-04-22,39
1279,2019-06-11,6
1295,2020-01-09,34
1308,2022-09-08,31
1310,2023-04-05,46
1338,2022-03-29,11
1344,2021-01-14,9
1347,2019-01-31,44
1350,2021-07-17,38
1388,2024-09-19,20
1391,2017-11-07,20
1427,2022-01-13,46
1439,2022-06-16,36
1445,2021-11-09,31
1453,2025-05-16,18
1467,2025-06-28,9
1474,2021-01-17,38
